[abp,2060]
[facts,17414]
[or,-25]
[facts(0),1409]
[mfacts(0),904]
[nfacts(0),839]
[pfacts(0),570]
[rules(0),233]
[rules(1),98]
[rules(2),17]
[rules(3),9]
[rules(4),1]
[skolem(0),380]
[e(5,0),51]
[e(5,1),205]
[e(6,0),41]
[e(6,1),112]
[e(10,0),198]
[e(10,1),199]
[e(27,1),228]
[e(28,1),1572]
[e(30,1),7]
[e(33,1),37]
[e(38,1),30]
[e(53,1),57]
[e(61,1),38]
[e(62,1),94]
[e(68,0),173]
[e(68,1),254]
[e(73,0),36]
[e(73,1),88]
[e(74,1),284]
[e(79,0),408]
[e(79,1),1325]
[e(86,0),108]
[e(86,1),516]
[e(87,0),54]
[e(87,1),312]
[e(88,0),126]
[e(88,1),323]
[e(104,0),57]
[e(104,1),757]
[e(105,0),41]
[e(105,1),110]
[e(109,0),256]
[e(109,1),735]
[e(110,0),67]
[e(110,1),179]
[e(116,1),20]
[e(117,1),20]
[e(119,1),40]
[e(120,0),93]
[e(120,1),1073]
[e(135,1),97]
[e(136,1),97]
[e(144,0),39]
[e(144,1),126]
[e(146,0),48]
[e(146,1),89]
[e(147,0),91]
[e(147,1),493]
[e(148,0),156]
[e(148,1),1187]
[e(151,0),14]
[e(151,1),224]
[e(152,0),21]
[e(152,1),172]
[e(153,0),16]
[e(153,1),148]
[e(154,0),557]
[e(154,1),1962]
[e(156,1),14]
[e(157,1),10]
[e(158,0),11]
[e(158,1),18]
[e(160,0),41]
[e(160,1),112]
[e(161,0),51]
[e(161,1),242]
[e(162,0),64]
[e(162,1),354]
[e(163,0),51]
[e(163,1),96]
[e(164,0),155]
[e(164,1),327]
[e(169,0),66]
[e(169,1),356]
[e(173,1),5268]
[e(174,1),3192]
[e(175,1),924]
[e(176,1),150]
[e(177,1),96]
[e(178,1),84]
[e(189,0),18]
[e(189,1),312]
[e(193,0),108]
[e(193,1),348]
[e(198,1),50]
[e(199,1),50]
[e(203,0),143]
[e(203,1),1445]
[e(205,1),12]
[skcycle(505,BFO-grv-1,154),16]
