pf,10226,CRT,FALSE,identical,sk45,sk44,,,<--,264, BFO-nis-1, mpt,1355,,,,
pf,10225,CRT,FALSE,'instance-of',sk44,process,sk44,,<--,862, BFO-mem-1, mpt,1355,,,,
pf,10224,CRT,FALSE,'instance-of',sk44,'spatiotemporal-region',sk44,,<--,864, BFO-mem-1, mpt,1355,,,,
pf,10223,CRT,FALSE,'instance-of',sk44,'process-boundary',sk44,,<--,865, BFO-mem-1, mpt,1355,,,,
pf,10222,CRT,FALSE,'instance-of',sk22,continuant,sk44,,<--,798, BFO-wrf-1, mpt,1357,,,,
pf,10221,CRT,FALSE,identical,sk56,sk55,,,<--,264, BFO-nis-1, mpt,1588,,,,
pf,10220,CRT,FALSE,'instance-of',sk55,process,sk55,,<--,862, BFO-mem-1, mpt,1588,,,,
pf,10219,CRT,FALSE,'instance-of',sk55,'spatiotemporal-region',sk55,,<--,864, BFO-mem-1, mpt,1588,,,,
pf,10218,CRT,FALSE,'instance-of',sk55,'process-boundary',sk55,,<--,865, BFO-mem-1, mpt,1588,,,,
pf,10217,CRT,FALSE,'instance-of',sk1,continuant,sk55,,<--,798, BFO-wrf-1, mpt,1590,,,,
pf,10216,CRT,FALSE,'proper-continuant-part-of',a,a,sk20,,<--,197, BFO-sls-1, mpt,1709,,,,
pf,10215,CRT,FALSE,identical,sk157,sk156,,,<--,264, BFO-nis-1, mpt,5072,,,,
pf,10214,CRT,FALSE,'instance-of',sk156,process,sk156,,<--,862, BFO-mem-1, mpt,5072,,,,
pf,10213,CRT,FALSE,'instance-of',sk156,'spatiotemporal-region',sk156,,<--,864, BFO-mem-1, mpt,5072,,,,
pf,10212,CRT,FALSE,'instance-of',sk156,'process-boundary',sk156,,<--,865, BFO-mem-1, mpt,5072,,,,
pf,10211,CRT,FALSE,'instance-of',sk1,continuant,sk156,,<--,798, BFO-wrf-1, mpt,5074,,,,
pf,10210,CRT,FALSE,identical,sk159,sk158,,,<--,264, BFO-nis-1, mpt,5148,,,,
pf,10209,CRT,FALSE,'instance-of',sk158,process,sk158,,<--,862, BFO-mem-1, mpt,5148,,,,
pf,10208,CRT,FALSE,'instance-of',sk158,'spatiotemporal-region',sk158,,<--,864, BFO-mem-1, mpt,5148,,,,
pf,10207,CRT,FALSE,'instance-of',sk158,'process-boundary',sk158,,<--,865, BFO-mem-1, mpt,5148,,,,
pf,10206,CRT,FALSE,'instance-of',sk1,continuant,sk158,,<--,798, BFO-wrf-1, mpt,5150,,,,
pf,10205,CRT,FALSE,'instance-of',sk1,continuant,sk20,,<--,798, BFO-wrf-1, mpt,5190,,,,
pf,10204,CRT,FALSE,identical,sk177,sk176,,,<--,264, BFO-nis-1, mpt,5859,,,,
pf,10203,CRT,FALSE,'instance-of',sk176,process,sk176,,<--,862, BFO-mem-1, mpt,5859,,,,
pf,10202,CRT,FALSE,'instance-of',sk176,'spatiotemporal-region',sk176,,<--,864, BFO-mem-1, mpt,5859,,,,
pf,10201,CRT,FALSE,'instance-of',sk176,'process-boundary',sk176,,<--,865, BFO-mem-1, mpt,5859,,,,
pf,10200,CRT,FALSE,universal,sk176,,,,<--,786, BFO-qkp-1, mpt,6105,,,,
pf,10199,CRT,FALSE,'instance-of',a,occurrent,sk176,,<--,798, BFO-wrf-1, mpt,6304,,,,
pf,10198,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk176,,<--,857, BFO-cig-1, mpt,6306,,,,
pf,10197,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk176,,<--,859, BFO-cig-1, mpt,6306,,,,
pf,10196,CRT,FALSE,identical,sk194,sk193,,,<--,264, BFO-nis-1, mpt,7315,,,,
pf,10195,CRT,FALSE,'instance-of',sk193,process,sk193,,<--,862, BFO-mem-1, mpt,7315,,,,
pf,10194,CRT,FALSE,'instance-of',sk193,'spatiotemporal-region',sk193,,<--,864, BFO-mem-1, mpt,7315,,,,
pf,10193,CRT,FALSE,'instance-of',sk193,'process-boundary',sk193,,<--,865, BFO-mem-1, mpt,7315,,,,
pf,10192,CRT,FALSE,universal,sk193,,,,<--,786, BFO-qkp-1, mpt,7594,,,,
pf,10191,CRT,FALSE,'instance-of',a,occurrent,sk193,,<--,798, BFO-wrf-1, mpt,7826,,,,
pf,10190,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk193,,<--,857, BFO-cig-1, mpt,7828,,,,
pf,10189,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk193,,<--,859, BFO-cig-1, mpt,7828,,,,
pf,10188,CRT,FALSE,'proper-continuant-part-of',a,a,sk193,,<--,197, BFO-sls-1, mpt,10050,,,,
pf,10187,CRT,FALSE,precedes,sk193,sk193,,,<--,418, BFO-aou-1, mpt,10051,10051,,,
pf,10186,CRT,FALSE,'instance-of',sk193,continuant,sk193,,<--,798, BFO-wrf-1, mpt,10052,,,,
pf,10185,CRT,FALSE,'proper-continuant-part-of',a,a,sk176,,<--,197, BFO-sls-1, mpt,10055,,,,
pf,10184,CRT,FALSE,precedes,sk176,sk176,,,<--,418, BFO-aou-1, mpt,10056,10056,,,
pf,10183,CRT,FALSE,'instance-of',sk176,continuant,sk176,,<--,798, BFO-wrf-1, mpt,10057,,,,
pf,10182,CRT,FALSE,universal,sk158,,,,<--,786, BFO-qkp-1, mpt,10060,,,,
pf,10181,CRT,FALSE,precedes,sk158,sk158,,,<--,418, BFO-aou-1, mpt,10062,10062,,,
pf,10180,CRT,FALSE,'instance-of',sk158,continuant,sk158,,<--,798, BFO-wrf-1, mpt,10063,,,,
pf,10179,CRT,FALSE,universal,sk156,,,,<--,786, BFO-qkp-1, mpt,10067,,,,
pf,10178,CRT,FALSE,precedes,sk156,sk156,,,<--,418, BFO-aou-1, mpt,10069,10069,,,
pf,10177,CRT,FALSE,'instance-of',sk156,continuant,sk156,,<--,798, BFO-wrf-1, mpt,10070,,,,
pf,10176,CRT,FALSE,'instance-of',a,occurrent,sk20,,<--,798, BFO-wrf-1, mpt,10075,,,,
